case_id,query,gt_count,hard_matched,v_base_top3,v_base_recall,v_sem_top3,v_sem_recall,v_sem2x_top3,v_sem2x_recall
ABL_001,人均200以内的日料,3,3,24|22|26,1.0,26|24|22,1.0,26|24|22,1.0
ABL_002,人均100的港式茶餐厅,1,1,47,1.0,47,1.0,47,1.0
ABL_003,适合约会的安静西餐厅,3,7,36|37|41,1.0,37|36|41,1.0,37|36|41,1.0
ABL_004,安静的火锅，适合聊天,2,8,30|33|35,1.0,30|33|35,1.0,30|33|35,1.0
ABL_005,日料,8,8,20|25|23,0.375,20|25|23,0.375,20|25|23,0.375
ABL_006,火锅,8,8,30|33|35,0.375,30|33|35,0.375,30|33|35,0.375
ABL_007,附近人均150的火锅,5,0,,0.0,,0.0,,0.0
ABL_008,西湖附近的日料,4,0,,0.0,,0.0,,0.0
ABL_009,重庆鸡公煲,2,66,36|44|20,0.0,30|33|31,0.0,29|31|32,1.0
ABL_011,烧烤,5,5,49|48|50,0.6,49|48|50,0.6,49|48|50,0.6
ABL_012,人均200的烧烤,5,5,51|48|49,0.6,51|48|49,0.6,51|48|49,0.6
ABL_013,福州闽侯的日料,4,4,73|76|74,0.75,73|76|74,0.75,73|76|74,0.75
ABL_014,福州人均150的西餐,1,1,83,1.0,83,1.0,83,1.0
ABL_015,晚上22:30吃火锅,5,5,30|35|28,0.6,30|31|29,0.6,30|31|29,0.6
ABL_017,烤肉,4,5,49|48|50,0.75,52|48|50,0.75,52|48|50,0.75
ABL_018,牛排,5,7,36|37|41,0.6,36|37|41,0.6,36|41|37,0.6
ABL_019,福州烤肉,3,3,84|85|86,1.0,86|84|85,1.0,86|84|85,1.0
ABL_022,杭州西餐,7,7,36|37|41,0.4286,37|36|41,0.4286,37|36|41,0.4286
ABL_023,找个安静不用排队的火锅，人均150以内,1,6,34|28|35,0.0,34|35|29,0.0,34|35|29,0.0
ABL_024,福州适合约会的安静西餐厅,2,3,81|82|83,1.0,81|82|83,1.0,81|82|83,1.0
ABL_025,港式茶餐厅,5,5,44|43|45,0.6,43|45|46,0.6,45|43|46,0.6
ABL_026,福州闽菜,8,8,61|66|60,0.375,64|66|62,0.375,64|66|62,0.375
ABL_027,人均100以内的烧烤,1,1,51,1.0,51,1.0,51,1.0
ABL_028,杭帮菜,3,3,54|53|55,1.0,54|53|55,1.0,54|55|53,1.0
ABL_029,福州人均150的火锅,4,4,77|79|80,0.75,77|79|80,0.75,77|79|80,0.75
ABL_030,寿司,1,8,20|25|23,0.0,20|21|22,1.0,20|21|22,1.0
ABL_031,福州小吃,5,5,71|68|69,0.6,72|71|68,0.6,72|71|68,0.6
ABL_032,人均200左右的西餐,5,5,38|39|40,0.6,38|39|40,0.6,38|39|40,0.6
ABL_033,找安静的日料店,3,8,20|25|24,1.0,20|25|26,0.6667,20|26|21,0.3333
ABL_034,火车东站附近的火锅,2,0,,0.0,,0.0,,0.0
ABL_035,仓山万达附近有什么吃的,5,7,81|73|61,0.6,73|61|81,0.6,73|61|81,0.6
