id,name,type_id,province,city,district,x,y,avg_price,score,open_hours
20,鮨一日本料理（钱江新城店）,1,浙江省,杭州市,上城区,120.1523,30.2478,380,48,"11:30-14:00,17:30-22:00"
21,三上日本料理（湖滨银泰店）,1,浙江省,杭州市,上城区,120.1645,30.2589,220,45,"11:00-14:00,17:00-21:30"
22,小林刺身（滨江天街店）,1,浙江省,杭州市,滨江区,120.1856,30.2078,180,44,10:30-22:00
23,七福神居酒屋（中山中路店）,1,浙江省,杭州市,拱墅区,120.1589,30.2654,280,46,17:00-02:00
24,鳗诚屋（城西银泰店）,1,浙江省,杭州市,拱墅区,120.1234,30.289,160,43,11:00-21:30
25,和味亭日式料理（黄龙店）,1,浙江省,杭州市,西湖区,120.1456,30.2734,320,47,11:30-22:00
26,大江户日料（下沙龙湖店）,1,浙江省,杭州市,钱塘区,120.3123,30.3078,195,42,"11:00-14:30,17:00-22:00"
27,樱屋日式烧肉（余杭万达店）,1,浙江省,杭州市,余杭区,120.0123,30.2856,260,44,11:30-23:00
28,川味观火锅（武林总店）,1,浙江省,杭州市,拱墅区,120.1567,30.2678,125,46,10:30-02:00
29,大渝火锅（湖滨in77店）,1,浙江省,杭州市,上城区,120.1656,30.2601,135,44,11:00-22:30
30,凑凑火锅·茶憩（钱江新城来福士店）,1,浙江省,杭州市,上城区,120.1534,30.2489,165,48,11:00-02:00
31,蜀大侠火锅（滨江星光大道店）,1,浙江省,杭州市,滨江区,120.1878,30.2089,145,45,10:30-00:00
32,小龙坎老火锅（城西银泰店）,1,浙江省,杭州市,拱墅区,120.1245,30.2901,138,43,11:00-22:00
33,捞王锅物料理（西溪印象城店）,1,浙江省,杭州市,余杭区,120.0678,30.2567,155,47,11:00-22:00
34,德庄火锅（萧山万象汇店）,1,浙江省,杭州市,萧山区,120.2678,30.1678,128,41,10:30-22:00
35,巴奴毛肚火锅（庆春银泰店）,1,浙江省,杭州市,上城区,120.189,30.2545,150,46,11:00-23:00
36,王品牛排（湖滨银泰店）,1,浙江省,杭州市,上城区,120.1645,30.2598,350,49,11:30-22:00
37,西堤牛排（钱江新城万象城店）,1,浙江省,杭州市,上城区,120.1545,30.2501,220,46,11:00-21:30
38,J.S. Burgers（嘉里中心店）,1,浙江省,杭州市,拱墅区,120.1578,30.2645,95,43,10:00-22:00
39,蓝蛙（城西银泰店）,1,浙江省,杭州市,拱墅区,120.1234,30.2899,145,44,10:00-00:00
40,菲兹牛排（滨江龙湖店）,1,浙江省,杭州市,滨江区,120.1867,30.2089,110,41,11:00-21:30
41,斗牛士牛排（黄龙万科中心店）,1,浙江省,杭州市,西湖区,120.1456,30.2745,185,45,11:00-22:00
42,MR. STEAK（临平银泰店）,1,浙江省,杭州市,临平区,120.2987,30.4234,170,42,11:00-21:00
43,翠园（杭州大厦店）,1,浙江省,杭州市,拱墅区,120.1556,30.2689,280,47,11:00-22:00
44,利苑酒家（钱江新城店）,1,浙江省,杭州市,上城区,120.1523,30.2489,350,49,11:30-22:00
45,稻香（城西银泰店）,1,浙江省,杭州市,拱墅区,120.1245,30.2901,155,44,10:30-21:30
46,太兴餐厅（湖滨银泰店）,1,浙江省,杭州市,上城区,120.1656,30.2598,125,43,11:00-22:00
47,敏华冰厅（西溪天街店）,1,浙江省,杭州市,西湖区,120.0689,30.2578,90,42,10:00-21:30
48,九田家黑牛烤肉（滨江宝龙店）,1,浙江省,杭州市,滨江区,120.1889,30.2101,155,45,11:00-23:00
49,姜虎东白丁烤肉（湖滨银泰店）,1,浙江省,杭州市,上城区,120.1645,30.2589,175,46,11:30-22:00
50,聚十三烤肉（武林路店）,1,浙江省,杭州市,拱墅区,120.1567,30.2678,135,43,17:00-02:00
51,小串烧烤（城西文一路店）,1,浙江省,杭州市,西湖区,120.1256,30.2912,85,41,17:00-03:00
52,高丽炉韩国烤肉（萧山银隆店）,1,浙江省,杭州市,萧山区,120.2689,30.1689,150,42,11:00-22:00
53,杭州酒家（延安路店）,1,浙江省,杭州市,上城区,120.1578,30.2645,120,46,11:00-21:00
54,山外山菜馆（北山路店）,1,浙江省,杭州市,西湖区,120.1456,30.2745,185,48,11:00-21:30
55,杭儿风（钱江新城来福士店）,1,浙江省,杭州市,上城区,120.1534,30.2489,110,44,11:00-21:30
60,聚春园闽菜馆（上街大学城店）,1,福建省,福州市,闽侯县,119.1945,26.0789,120,46,10:30-21:30
61,老福州海鲜酒楼（仓山万达店）,1,福建省,福州市,仓山区,119.2734,26.0456,185,47,11:00-22:00
62,闽味轩（南屿店）,1,福建省,福州市,闽侯县,119.1856,26.0123,95,43,10:00-21:00
63,海中鲜海鲜城（金山店）,1,福建省,福州市,仓山区,119.2656,26.0567,160,44,11:00-22:30
64,福州大酒楼（台江万达店）,1,福建省,福州市,台江区,119.3123,26.0567,140,45,10:30-21:30
65,闽都海鲜舫（甘蔗店）,1,福建省,福州市,闽侯县,119.1456,26.1123,130,42,11:00-22:00
66,榕城春（东街口店）,1,福建省,福州市,鼓楼区,119.2989,26.0789,150,46,11:00-21:30
67,潮江春海鲜（闽侯滨江店）,1,福建省,福州市,闽侯县,119.1545,26.1089,175,44,11:00-22:00
68,同利肉燕（上下杭店）,1,福建省,福州市,台江区,119.3023,26.0656,55,42,08:00-20:00
69,永和鱼丸（南后街店）,1,福建省,福州市,鼓楼区,119.2956,26.0789,40,41,07:30-21:00
70,耳聋伯元宵（苍霞店）,1,福建省,福州市,台江区,119.3045,26.0634,35,40,09:00-20:30
71,达道牛肉（达道路店）,1,福建省,福州市,台江区,119.3067,26.0678,50,43,10:00-21:00
